时间,微压差
134.19,-87
134.24,-90
134.3,-93
134.39,-94
134.45,-96
134.5,-99
134.56,-102
134.61,-106
134.72,-111
134.77,-112
134.88,-115
134.99,-120
135.08,-123
135.14,-125
135.22,-127
135.27,-128
135.38,-130
135.49,-136
135.58,-140
135.64,-141
135.69,-142
135.74,-143
135.8,-145
135.88,-147
135.99,-152
136.08,-154
136.14,-155
136.19,-156
136.25,-159
136.3,-162
136.41,-164
136.5,-166
136.56,-167
136.61,-168
136.72,-172
136.77,-175
136.83,-177
136.92,-178
136.99,-179
137.08,-181
137.14,-184
137.19,-186
137.25,-188
137.3,-189
137.41,-191
137.5,-194
137.56,-196
137.61,-198
137.67,-198
137.72,-200
137.77,-201
137.83,-201
137.92,-204
137.99,-206
138.09,-210
138.19,-212
138.25,-213
138.3,-213
138.41,-216
138.52,-220
138.61,-223
138.67,-223
138.72,-224
138.77,-225
138.83,-228
138.94,-230
138.99,-232
139.09,-53
139.19,-65
139.25,-70
139.3,-74
139.36,-78
139.45,-83
139.52,-85
139.61,-87
139.67,-89
139.72,-93
139.78,-96
139.83,-99
139.94,-102
139.99,-103
140.09,-108
140.2,-113
140.25,-113
140.3,-115
140.36,-116
140.45,-119
140.52,-121
140.63,-126
140.72,-130
140.78,-130
140.83,-131
140.94,-132
140.99,-135
141.05,-137
141.14,-141
141.2,-143
141.25,-143
141.3,-145
141.38,-146
141.44,-149
141.49,-152
141.55,-154
141.64,-156
141.7,-156
141.75,-158
141.8,-160
141.86,-160
141.97,-165
142.02,-167
142.13,-168
142.22,-171
142.3,-174
142.36,-176
142.47,-179
142.52,-180
142.63,-182
142.72,-187
142.78,-189
142.83,-189
142.89,-190
142.94,-192
142.99,-192
143.05,-193
143.14,-198
143.2,-200
143.25,-202
143.31,-203
143.36,-203
143.47,-206
143.52,-206
143.63,-210
143.74,-214
143.83,-215
143.89,-216
143.94,-217
143.99,-219
144.05,-222
144.16,-223
144.25,-225
144.31,-225
144.36,-226
144.47,-231
144.52,-219
144.58,-88
144.67,-72
144.74,-77
144.83,-81
144.89,-85
144.94,-89
145,-92
145.05,-94
145.16,-97
145.25,-103
145.31,-106
145.36,-109
145.42,-109
145.47,-111
145.52,-112
145.58,-113
145.67,-117
145.74,-120
145.83,-125
145.89,-126
145.94,-127
146,-128
146.05,-130
146.16,-133
146.25,-138
146.31,-140
146.36,-141
146.42,-141
146.47,-143
146.52,-145
146.59,-148
146.66,-150
146.77,-153
146.86,-155
146.92,-157
146.97,-159
147.02,-162
147.08,-162
147.19,-165
147.24,-166
147.34,-168
147.44,-173
147.5,-175
147.55,-177
147.61,-178
147.7,-179
147.77,-179
147.86,-184
147.92,-186
147.97,-188
148.03,-190
148.08,-190
148.19,-192
148.24,-194
148.34,-197
148.44,-201
148.5,-201
148.55,-202
148.61,-203
148.7,-207
148.77,-210
148.86,-213
148.92,-213
148.97,-214
149.03,-214
149.08,-215
149.19,-220
149.24,-222
149.34,-224
149.45,-225
149.5,-227
149.55,-229
149.61,-232
149.7,-204
