"time","temper","val"
572015,24,1.2252
573000,24,1.2001
574015,24,1.1594
575015,24,1.1251
576000,24,1.0988
577000,24,1.0777
578000,24,1.0672
579031,24,1.1492
580000,24,2.3583
581000,24,9.8959
582000,24,43.1485
583000,24,89.0637
584000,24,131.5669
585000,24,133.3013
586000,24,107.6091
587000,24,67.2090
588000,24,37.6991
589015,24,19.6259
590000,24,13.0099
591000,24,7.4103
592000,24,4.2867
593000,24,2.5853
594000,24,1.5887
595000,24,0.9884
596000,24,0.6791
597000,24,0.5835
598015,24,0.5460
599015,24,0.5405
600000,24,0.5519
601000,24,0.5579
602000,24,0.5645
603015,24,0.5734
604000,24,0.5776
605015,24,0.5866
606000,24,0.5865
607015,24,0.5922
608015,24,0.6042
609015,24,0.6203
610000,24,0.6307
611015,24,0.6386
612000,24,0.6463
613000,24,0.6444
614000,24,0.6394
615000,24,0.6396
616015,24,0.6414
617015,24,0.6518
618000,24,0.6590
619015,24,0.6481
620015,24,0.6218
621000,24,0.6006
622015,24,0.5734
623000,24,0.5462
624015,24,0.5327
625000,24,0.5349
626015,24,0.5359
627000,24,0.5317
628015,24,0.5351
629000,24,0.5325
630000,24,0.5261
631000,24,0.5231
632015,24,0.5247
633015,24,0.5189
634000,24,0.5171
635000,24,0.5226
636000,24,0.5273
637000,24,0.5289
638000,24,0.5421
639015,24,0.5556
640000,24,0.5644
641015,24,0.5817
642015,24,0.5852
643015,24,0.5744
644015,24,0.5723
645015,24,0.5750
646015,24,0.5787
647015,24,0.5916
648015,24,0.5989
649000,24,0.6053
